U[V]	I[nA]	Uret=1.0V
15.60	 6.190
15.65	 5.750
15.70	 5.320
15.75	 4.900
15.80	 4.505
15.85	 4.140
15.90	 3.810
15.95	 3.500
16.00	 3.225
16.05	 2.990
16.10	 2.795
16.15	 2.635
16.20	 2.510
16.25	 2.425
16.30	 2.370
16.35	 2.335
16.40	 2.330
16.45	 2.355
16.50	 2.395
16.55	 2.455
16.60	 2.525
16.65	 2.605
16.70	 2.690
16.75	 2.785
16.80	 2.870
16.85	 2.970
16.90	 3.070
16.95	 3.175
17.00	 3.275
17.05	 3.380
17.10	 3.480
17.15	 3.580
17.20	 3.680
17.25	 3.770
17.30	 3.860
17.35	 3.940
17.40	 4.015
17.45	 4.090
17.50	 4.155
17.55	 4.220
17.60	 4.275
17.65	 4.320
17.70	 4.365
17.75	 4.395
17.80	 4.415
17.85	 4.445
17.90	 4.470
17.95	 4.490
18.00	 4.500
18.05	 4.510
18.10	 4.520
18.15	 4.530
18.20	 4.535
18.25	 4.535
18.30	 4.540
18.35	 4.545
18.40	 4.540
18.45	 4.535
18.50	 4.520
18.55	 4.510
18.60	 4.495
18.65	 4.470
18.70	 4.445
18.75	 4.410
18.80	 4.360
18.85	 4.310
18.90	 4.260
18.95	 4.195
19.00	 4.125
19.05	 4.050
19.10	 3.970
19.15	 3.880
19.20	 3.780
19.25	 3.685
19.30	 3.575
19.35	 3.460
19.40	 3.335
19.45	 3.200
19.50	 3.070
19.55	 2.915
19.60	 2.755
19.65	 2.590
19.70	 2.420
19.75	 2.240
19.80	 2.050
19.85	 1.860
19.90	 1.665
19.95	 1.465
20.00	 1.260
20.05	 1.075
20.10	 0.870
20.15	 0.660
20.20	 0.455
20.25	 0.250
20.30	 0.050
20.35	-0.150
20.40	-0.360
20.45	-0.555
20.50	-0.745
20.55	-0.930
20.60	-1.110
20.65	-1.285
20.70	-1.460
20.75	-1.625
20.80	-1.790
20.85	-1.945
20.90	-2.095
20.95	-2.245
21.00	-2.395
21.05	-2.540
21.10	-2.680
21.15	-2.835
21.20	-2.990
21.25	-3.140
21.30	-3.300
21.35	-3.465
21.40	-3.645
21.45	-3.825
21.50	-4.005
21.55	-4.190
21.60	-4.390
21.65	-4.595
21.70	-4.805
21.75	-5.025
21.80	-5.245
21.85	-5.460
21.90	-5.680
21.95	-5.910
22.00	-6.140
22.05	-6.355
22.10	-6.580
22.15	-6.800
22.20	-7.015
22.25	-7.240
22.30	-7.455
22.35	-7.670
22.40	-7.885
22.45	-8.090
22.50	-8.275
22.55	-8.450
22.60	-8.620
22.65	-8.780
22.70	-8.930
22.75	-9.065
22.80	-9.190
22.85	-9.295
22.90	-9.385
22.95	-9.465
23.00	-9.530
23.05	-9.585
23.10	-9.630
23.15	-9.660
23.20	-9.690
23.25	-9.715
23.30	-9.735
23.35	-9.755
23.40	-9.780
23.45	-9.800
23.50	-9.815
23.55	-9.840
23.60	-9.860
23.65	-9.890
23.70	-9.915
23.75	-9.950
23.80	-9.985
23.85	-10.025
23.90	-10.055
23.95	-10.095
24.00	-10.145
24.05	-10.200
24.10	-10.255
24.15	-10.320
24.20	-10.385
24.25	-10.460
24.30	-10.535
24.35	-10.615
24.40	-10.705
24.45	-10.785
24.50	-10.880
24.55	-10.975
24.60	-11.070
24.65	-11.175
24.70	-11.280
24.75	-11.390
24.80	-11.505
24.85	-11.610
24.90	-11.720

